AuthorID,Author,Date,Content,Attachments,Reactions
413494385351852033,sethcopela,2024-04-02T14:35:20.2040000+01:00,I guess I'll start this off with a banger. We use this at Uni for our Virtual Production/Volumetric Light Stage,https://cdn.discordapp.com/attachments/1224713323409313872/1224713783310553238/zLFzQAs.png?ex=68536958&is=685217d8&hm=9c489bdaa852d490bd64bd9940c00208b3a26312a618716d93abd03232e1683e&,🔥 (2)
413494385351852033,sethcopela,2024-04-02T14:35:31.1070000+01:00,ARRI LF I believe?,,
642197042596413450,uncamad,2024-04-02T14:36:26.6950000+01:00,Yeah but what's *YOUR* gear?,,
642197042596413450,uncamad,2024-04-02T14:36:37.0470000+01:00,😉,,
413494385351852033,sethcopela,2024-04-02T14:37:17.7240000+01:00,my personal gear,,
413494385351852033,sethcopela,2024-04-02T14:37:32.0380000+01:00,I don't actually own much of my own gear,,
413494385351852033,sethcopela,2024-04-02T14:37:38.0580000+01:00,I use other people's stuff lol,,
413494385351852033,sethcopela,2024-04-02T14:37:56.3150000+01:00,Lemme post what else i have tho,,
413494385351852033,sethcopela,2024-04-02T14:39:42.2620000+01:00,for photography I mainly use my Fujifilm X-H1,https://cdn.discordapp.com/attachments/1224713323409313872/1224714883044475042/OcocuT3.jpeg?ex=68536a5e&is=685218de&hm=33ba93d2e2f59f8c86e540fdfe37817b866e5d8dd0d47c9e420af76a36ecafd0&,🔥 (1)
413494385351852033,sethcopela,2024-04-02T14:39:48.7800000+01:00,I have various fuji lenses for it,,
333909848762744832,potiii,2024-04-02T14:40:20.7530000+01:00,,"https://cdn.discordapp.com/attachments/1224713323409313872/1224715043917135892/IMG_3367.jpg?ex=68536a84&is=68521904&hm=7d443cd03de62209ac1677501e60edbc3fb3c851fab6a62594811dfc6d2662c8&,https://cdn.discordapp.com/attachments/1224713323409313872/1224715044386766918/IMG_3366.jpg?ex=68536a84&is=68521904&hm=2acc33913bbaf347d59052b97f41e45dd4fe74e3ab3b560a6728e02e4e246999&",🔥 (2)
333909848762744832,potiii,2024-04-02T14:41:38.1380000+01:00,"This is my a7SIII / komodo rig , ofc w the komodo i use a wooden cam battery plate the sdi module for ninja , so i tweak SOME stuff",,
333909848762744832,potiii,2024-04-02T14:41:46.2150000+01:00,But its 90% the same,,
413494385351852033,sethcopela,2024-04-02T14:43:05.8870000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1224715736836997142/IMG_1554.jpg?ex=68536b29&is=685219a9&hm=7f1f58f57f2b11ae6e2ad00ef80f59c4e730fb3ba6e22c7c936ec878ba424e4c&,
413494385351852033,sethcopela,2024-04-02T14:43:22.8320000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1224715807917871124/IMG_1465.jpg?ex=68536b3a&is=685219ba&hm=688ea65d893bbc132d39564757569693f4e36b2e30a09636b82930c070e8c9b9&,
